,Actions0,Actions1,Actions2,Actions3,Actions4,Actions5
226,2,2,1,2,1,1
227,2,2,1,2,1,1
228,2,2,1,2,1,1
229,2,2,1,2,1,1
230,2,2,1,2,1,1
231,2,2,1,2,1,1
232,2,2,1,2,1,1
233,2,2,1,2,1,1
234,2,2,1,2,1,1
235,2,2,1,2,1,1
236,2,2,1,2,1,1
237,2,2,1,2,1,1
238,2,2,1,2,1,1
239,2,2,1,2,1,1
240,2,2,1,2,1,1
241,2,2,1,2,1,1
242,2,2,1,2,1,1
243,2,2,1,2,1,1
244,2,2,1,2,1,1
245,2,2,1,2,1,1
246,2,2,1,2,1,1
247,2,2,1,2,1,1
248,2,2,1,2,1,1
249,2,2,1,2,1,1
250,1,0,1,2,0,0
251,2,2,1,2,1,1
252,2,2,1,2,1,1
253,2,2,1,2,1,1
254,2,2,1,2,1,1
255,2,2,1,2,1,1
256,2,2,1,2,1,1
257,2,2,1,2,1,1
258,2,2,1,2,1,1
259,2,2,1,2,1,1
260,2,2,1,2,1,1
261,2,2,1,2,1,1
262,2,2,1,2,1,1
263,2,2,1,2,1,1
264,2,2,1,2,1,1
265,2,2,1,2,1,1
266,2,2,1,2,1,1
267,2,2,1,2,1,1
268,2,2,1,2,1,1
269,2,2,1,2,1,1
270,2,2,1,2,1,1
271,2,2,1,2,1,1
272,2,2,1,2,1,1
273,1,0,0,1,2,0
274,1,0,0,1,2,0
275,1,0,0,1,2,0
276,1,0,0,1,2,0
277,1,0,0,1,2,0
278,1,0,0,1,2,0
279,1,0,0,1,2,0
280,1,0,0,1,2,0
281,1,0,0,1,2,0
282,1,0,0,1,2,0
283,1,0,0,1,2,0
284,1,0,0,1,2,0
285,1,0,0,1,2,0
286,1,0,0,1,2,0
287,1,0,0,1,2,0
288,1,0,0,1,2,0
289,1,0,0,1,2,0
290,1,0,0,1,2,0
291,1,0,0,1,2,0
292,1,0,0,1,2,0
293,1,0,0,1,2,0
294,2,2,2,1,2,2
295,1,0,0,1,2,0
296,1,0,0,1,2,0
297,1,0,0,1,2,0
298,1,0,0,1,2,0
299,1,0,0,1,2,0
300,1,0,0,1,2,0
301,1,0,0,1,2,0
302,1,0,0,1,2,0
303,1,0,0,1,2,0
304,1,0,0,1,2,0
305,1,0,0,1,2,0
306,1,0,0,1,2,0
307,1,0,0,1,2,0
308,1,0,0,1,2,0
309,1,0,0,1,2,0
310,1,0,0,1,2,0
311,1,0,0,1,2,0
312,1,0,0,1,2,0
313,1,0,0,1,2,0
314,1,0,0,1,2,0
315,1,0,0,1,2,0
316,1,0,0,1,2,0
317,1,0,0,1,2,0
318,1,0,0,1,2,0
319,1,0,0,1,2,0
320,1,0,0,1,2,0
321,1,0,0,1,2,0
322,1,0,0,1,2,0
323,1,0,0,1,2,0
324,1,0,0,1,2,0
325,1,0,0,1,2,0
326,1,0,0,1,2,0
327,1,0,0,1,2,0
328,1,0,0,1,2,0
329,1,0,0,1,2,0
330,1,0,0,1,2,0
331,1,0,0,1,2,0
332,1,0,0,1,2,0
333,1,0,0,1,2,0
334,1,0,0,1,2,0
335,1,0,0,1,2,0
336,1,0,0,1,2,0
337,1,0,0,1,2,0
338,1,0,0,1,2,0
339,1,0,0,1,2,0
340,1,0,0,1,2,0
341,1,0,0,1,2,0
